,MAE,MSE,RMSE,R2,set,modelo
0,945.5668950616538,1169140.809022096,1081.2681485284286,0.4583728347565076,test,Reg_Cod_Random_Forest_2 
1,832.2273102149563,923021.2397763374,960.739943885096,0.6297668985832349,train,Reg_Cod_Random_Forest_2 
2,449.2063800825809,332243.2136995517,576.4054247658948,0.8460818845610281,test,Reg_Cod_Random_Forest_1 
3,412.9767207175644,308100.3405793233,555.0678702459037,0.8764178550562008,train,Reg_Cod_Random_Forest_1 
4,0.3807910616458401,0.2665227588042349,0.516258422501982,0.700023360526491,test,Reg_enc_est_3_Decision tree II
5,0.3132252916538617,0.180146656317124,0.4244368696486251,0.8244465886046947,train,Reg_enc_est_3_Decision tree II
6,1014.9730322898802,1419732.8261502609,1191.525419850647,0.342281220451039,test,Reg_enc_2_Decision tree II
7,935.1413107205796,1239350.4720955312,1113.2611877252934,0.5028840624106907,train,Reg_enc_2_Decision tree II
8,549.1754714690557,581592.876272939,762.6223680649152,0.7305658151091297,test,Reg_enc_Decision tree II
9,480.11557605848606,403152.8376972592,634.9431767467536,0.8382913425894791,train,Reg_enc_Decision tree II
